CaseID,TVchildBR,compchildBR,tabletchildBR,cellchildBR,gamechildBR,mp3childBR,count
415,1,1,1,1,2,1,7
467,1,1,1,2,2,2,9
700,2,2,2,1,2,2,11
722,1,2,2,2,2,2,11
728,2,2,2,1,2,2,11
761,2,1,2,1,2,1,9
856,1,1,2,2,1,1,8
906,1,2,2,2,1,2,10
964,1,1,1,2,1,2,8
1032,2,2,2,1,2,1,10
1246,1,2,2,1,2,2,10
1318,1,2,2,1,2,2,10
1330,1,2,2,1,2,1,9
1361,1,2,2,2,2,2,11
1390,1,2,1,2,1,1,8
1398,2,1,1,2,2,1,9
1431,2,2,2,2,2,2,12
1466,1,2,2,2,2,2,11
34,1,2,1,2,2,2,10
86,1,2,2,2,1,1,9
105,2,1,1,2,2,2,10
109,2,2,1,2,2,2,11
148,1,1,1,1,1,1,6
204,1,2,1,2,2,1,9
231,2,2,2,2,2,1,11
255,1,1,1,2,2,1,8
256,2,2,2,1,2,1,10
264,2,1,1,2,2,1,9
290,2,2,2,2,2,1,11
336,2,1,1,1,1,2,8
355,1,1,2,2,2,2,10
358,2,2,2,1,2,1,10
384,1,2,1,1,1,1,7
410,2,2,1,2,2,1,10
425,2,2,2,2,2,2,12
429,2,2,2,2,2,2,12
465,1,2,2,2,2,1,10
536,2,2,1,2,2,1,10
538,2,2,2,1,2,1,10
549,1,2,2,2,2,2,11
581,1,1,2,1,2,1,8
586,2,2,2,2,2,2,12
597,2,2,2,1,1,2,10
618,2,1,1,2,2,2,10
627,2,2,2,2,2,1,11
697,2,2,2,1,2,1,10
781,2,2,2,2,2,1,11
829,2,2,1,1,2,1,9
